23
439,486
439,484
462,462
466,437
461,419
456,400
455,370
454,337
456,320
471,306
451,92
443,96
370,99
324,102
297,105
272,105
239,106
199,106
165,113
159,151
146,217
141,252
141,257
302
142,278
139,265
136,254
136,235
133,212
130,194
128,175
128,160
132,148
134,143
137,136
152,121
167,116
187,111
206,106
216,106
235,106
250,106
271,106
297,110
344,112
370,109
387,107
411,107
424,108
430,111
441,117
450,124
452,129
457,139
458,162
458,192
458,211
458,232
458,250
458,259
460,264
460,264
488,272
504,273
516,274
544,277
564,278
583,281
603,283
621,283
641,284
659,284
676,284
688,284
690,284
694,295
694,314
691,330
690,344
689,359
689,375
689,389
689,406
689,418
689,434
689,449
689,456
694,464
706,471
718,474
734,479
753,483
772,487
796,489
824,489
868,486
891,485
908,484
935,481
952,476
965,465
968,461
969,452
970,444
970,435
971,418
971,395
971,382
971,372
969,360
967,355
967,355
967,355
967,344
967,321
967,308
967,290
967,269
965,251
963,241
960,232
960,215
962,195
965,169
965,154
966,140
966,114
966,97
966,85
957,81
951,77
945,72
935,68
924,68
907,68
882,67
868,66
840,62
815,59
789,53
774,53
767,52
755,52
746,53
737,53
726,53
720,53
712,54
698,62
696,66
695,68
694,75
694,86
694,96
694,102
695,117
696,124
696,132
696,137
697,145
697,155
697,160
696,165
696,165
696,166
695,172
694,177
694,180
693,188
693,190
693,196
693,205
693,212
693,216
693,218
693,221
693,221
