1951
5,476
5,476
5,476
5,476
5,476
5,475
5,475
7,475
7,475
9,476
10,476
10,476
11,479
12,480
12,480
12,480
12,480
12,480
14,480
16,479
16,479
16,479
16,479
18,479
18,479
19,479
19,479
19,479
19,479
19,479
19,479
19,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
20,479
21,479
22,478
22,478
29,478
35,478
35,478
38,480
39,481
39,481
39,481
39,481
39,481
39,481
39,481
40,481
52,481
53,481
53,481
53,481
53,481
53,481
53,481
53,481
53,481
54,481
66,481
66,481
66,481
66,481
66,481
66,481
66,481
66,481
66,481
66,481
69,481
72,482
74,482
75,482
76,482
77,482
77,482
78,482
83,482
90,482
90,482
90,482
90,482
90,482
91,481
94,480
97,478
97,478
99,476
99,476
99,476
99,476
100,475
100,475
101,474
102,473
103,472
103,472
103,472
103,472
103,472
103,471
104,470
104,470
104,469
104,469
104,466
104,464
104,463
104,461
104,460
104,460
104,460
104,460
104,460
104,460
104,460
104,460
104,460
104,459
104,458
104,457
107,452
107,451
107,451
108,450
108,449
108,448
109,448
109,445
111,443
112,442
112,438
112,438
112,438
112,438
112,437
112,436
112,436
112,436
112,436
112,434
112,433
112,431
111,430
111,430
111,430
111,430
111,428
111,428
111,428
109,425
109,425
108,424
108,424
108,424
107,421
107,421
107,420
107,419
107,419
107,419
107,418
107,418
107,417
107,415
107,415
107,413
108,412
108,411
109,410
110,406
110,406
110,406
110,406
111,405
111,405
113,402
113,402
113,402
114,401
114,401
115,400
115,400
115,400
115,400
115,400
116,393
116,392
117,390
117,387
117,385
117,385
117,383
117,383
117,383
117,379
117,379
117,379
117,379
117,379
117,379
117,379
117,378
117,378
117,378
117,373
116,370
116,370
115,366
115,366
115,366
115,364
115,363
114,361
114,358
114,358
114,353
113,350
113,350
113,350
113,350
112,349
112,349
112,346
112,343
109,342
109,342
109,339
109,336
109,334
109,328
109,326
109,326
109,326
109,326
109,326
109,326
109,326
109,326
109,326
109,326
109,326
109,323
109,321
109,321
110,317
111,312
111,311
111,310
111,309
112,307
112,307
112,307
113,306
114,302
114,302
114,301
115,301
115,301
115,300
115,299
115,298
115,298
115,298
115,295
115,292
115,292
115,292
115,292
115,292
114,291
114,291
113,288
113,288
112,285
112,285
112,285
109,285
108,284
108,284
108,284
107,280
107,280
107,278
107,271
107,270
107,270
107,269
107,269
107,267
107,263
107,263
107,261
108,260
108,260
108,259
109,259
109,259
109,259
111,257
111,257
112,255
112,254
112,254
112,249
112,247
113,244
113,241
113,241
113,241
113,241
113,238
114,238
114,238
114,234
115,232
115,232
115,229
115,227
115,225
116,224
116,224
116,224
117,223
117,223
117,223
117,222
117,222
117,222
117,219
117,215
117,212
116,210
115,207
115,206
114,205
114,205
114,205
114,205
114,205
114,205
114,205
114,205
114,205
114,205
114,205
114,203
114,198
114,195
114,195
114,195
114,194
114,193
114,191
113,183
113,182
113,179
113,179
